path,transcription
TIMIT/data/TRAIN\DR4\FJXP0\VOCODED_SX312.WAV.wav,THOSE ANSWERS WILL BE STRAIGHTFORWARD IF YOU THINK THEM THROUGH CAREFULLY FIRST.
TIMIT/data/TRAIN\DR4\FJXP0\VOCODED_SX402.WAV.wav,WE'LL SERVE RHUBARB PIE AFTER RACHEL'S TALK.
TIMIT/data/TRAIN\DR4\FJXP0\VOCODED_SX42.WAV.wav,BIBLICAL SCHOLARS ARGUE HISTORY.
TIMIT/data/TRAIN\DR4\FKDW0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\FKDW0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\FKDW0\VOCODED_SI1207.WAV.wav,"BUT THEY WOULD RECONSIDER IT, THEY ASSURED HIM, IF HE WOULD REWRITE IT."
TIMIT/data/TRAIN\DR4\FKDW0\VOCODED_SI1891.WAV.wav,"HIS EYES WERE DARK, FLUID, FEARFUL, AND HE GAVE A SIGH AS MY KNIFE WENT IN."
TIMIT/data/TRAIN\DR4\FKDW0\VOCODED_SI577.WAV.wav,SHE CAN DECREASE THE NUMBER OF TEMPTATIONS.
TIMIT/data/TRAIN\DR4\FKDW0\VOCODED_SX127.WAV.wav,THE EMPEROR HAD A MEAN TEMPER.
TIMIT/data/TRAIN\DR4\FKDW0\VOCODED_SX217.WAV.wav,HOW PERMANENT ARE THEIR RECORDS?
TIMIT/data/TRAIN\DR4\FKDW0\VOCODED_SX307.WAV.wav,THE MEETING IS NOW ADJOURNED.
TIMIT/data/TRAIN\DR4\FKDW0\VOCODED_SX37.WAV.wav,CRITICAL EQUIPMENT NEEDS PROPER MAINTENANCE.
TIMIT/data/TRAIN\DR4\FKDW0\VOCODED_SX397.WAV.wav,TIM TAKES SHEILA TO SEE MOVIES TWICE A WEEK.
TIMIT/data/TRAIN\DR4\FKLC0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\FKLC0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\FKLC0\VOCODED_SI1615.WAV.wav,PA DON'T CARE ABOUT THE KID.
TIMIT/data/TRAIN\DR4\FKLC0\VOCODED_SI2245.WAV.wav,HE COULD TAKE THE ADVICE OR LEAVE IT.
TIMIT/data/TRAIN\DR4\FKLC0\VOCODED_SI985.WAV.wav,BATHING THE ITCHING PARTS WITH KEROSENE GAVE RELIEF AND ALSO KILLED THE PESTS.
TIMIT/data/TRAIN\DR4\FKLC0\VOCODED_SX175.WAV.wav,SEVERE MYOPIA CONTRIBUTED TO RON'S INFERIORITY COMPLEX.
TIMIT/data/TRAIN\DR4\FKLC0\VOCODED_SX265.WAV.wav,"THE SAW IS BROKEN, SO CHOP THE WOOD INSTEAD."
TIMIT/data/TRAIN\DR4\FKLC0\VOCODED_SX355.WAV.wav,DOLPHINS ARE INTELLIGENT MARINE MAMMALS.
TIMIT/data/TRAIN\DR4\FKLC0\VOCODED_SX445.WAV.wav,WHAT IS THIS LARGE THING BY THE IRONING BOARD?
TIMIT/data/TRAIN\DR4\FKLC0\VOCODED_SX85.WAV.wav,CEMENT IS MEASURED IN CUBIC YARDS.
TIMIT/data/TRAIN\DR4\FLHD0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\FLHD0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\FLHD0\VOCODED_SI1344.WAV.wav,EXPERIMENT WITHOUT A FIXED NUMBER OF TRIALS.
TIMIT/data/TRAIN\DR4\FLHD0\VOCODED_SI1827.WAV.wav,MAYBE IT WOULD WORK THE OTHER WAY.
TIMIT/data/TRAIN\DR4\FLHD0\VOCODED_SI1974.WAV.wav,AS IF DRAWN BY A WIRE THE ENEMY FLEW INTO THEM.
TIMIT/data/TRAIN\DR4\FLHD0\VOCODED_SX174.WAV.wav,THE HAUNTED HOUSE WAS A HIT DUE TO OUTSTANDING AUDIO-VISUAL EFFECTS.
TIMIT/data/TRAIN\DR4\FLHD0\VOCODED_SX264.WAV.wav,WE SAW EIGHT TINY ICICLES BELOW OUR ROOF.
TIMIT/data/TRAIN\DR4\FLHD0\VOCODED_SX354.WAV.wav,A LAWYER WAS APPOINTED TO EXECUTE HER WILL.
TIMIT/data/TRAIN\DR4\FLHD0\VOCODED_SX444.WAV.wav,THE TODDLER FOUND A CLAMSHELL NEAR THE CAMP SITE.
TIMIT/data/TRAIN\DR4\FLHD0\VOCODED_SX84.WAV.wav,COOPERATION ALONG WITH UNDERSTANDING ALLEVIATE DISPUTE.
TIMIT/data/TRAIN\DR4\FLKM0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\FLKM0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\FLKM0\VOCODED_SI1880.WAV.wav,HE PICKED UP THE POWDER CANISTER AND RAN OUT.
TIMIT/data/TRAIN\DR4\FLKM0\VOCODED_SI620.WAV.wav,HIS PORTRAYAL OF AN EDGY HEAD-IN-THE-CLOUDS ARTIST IS VIRTUALLY FLAWLESS.
TIMIT/data/TRAIN\DR4\FLKM0\VOCODED_SI686.WAV.wav,OTHERS WERE EPHEMERAL.
TIMIT/data/TRAIN\DR4\FLKM0\VOCODED_SX116.WAV.wav,CLASP THE SCREW IN YOUR LEFT HAND.
TIMIT/data/TRAIN\DR4\FLKM0\VOCODED_SX260.WAV.wav,REMEMBER TO ALLOW IDENTICAL TWINS TO ENTER FREELY.
TIMIT/data/TRAIN\DR4\FLKM0\VOCODED_SX350.WAV.wav,MANY WEALTHY TYCOONS SPLURGED AND BOUGHT BOTH A YACHT AND A SCHOONER.
TIMIT/data/TRAIN\DR4\FLKM0\VOCODED_SX440.WAV.wav,THE ADVERTISING VERSE OF PLYMOUTH VARIETY STORE NEVER CHANGES.
TIMIT/data/TRAIN\DR4\FLKM0\VOCODED_SX80.WAV.wav,IT'S ILLEGAL TO POSTDATE A CHECK.
TIMIT/data/TRAIN\DR4\FPAF0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\FPAF0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\FPAF0\VOCODED_SI1054.WAV.wav,A CONCEPT OF RESPONSIBILITY IS IN PROCESS OF ARTICULATION AND ESTABLISHMENT.
TIMIT/data/TRAIN\DR4\FPAF0\VOCODED_SI1684.WAV.wav,SHE ASKED WITH A REPORTORIAL GLEAM IN HER EYE.
TIMIT/data/TRAIN\DR4\FPAF0\VOCODED_SI2314.WAV.wav,"BUT EVERYBODY CALLS YOU ""JUNIOR""!"
TIMIT/data/TRAIN\DR4\FPAF0\VOCODED_SX154.WAV.wav,ORANGE JUICE TASTES FUNNY AFTER TOOTHPASTE.
TIMIT/data/TRAIN\DR4\FPAF0\VOCODED_SX244.WAV.wav,HERB'S BIRTHDAY OCCURS FREQUENTLY ON THANKSGIVING.
TIMIT/data/TRAIN\DR4\FPAF0\VOCODED_SX334.WAV.wav,OFTEN YOU'LL GET BACK MORE THAN YOU PUT IN.
TIMIT/data/TRAIN\DR4\FPAF0\VOCODED_SX424.WAV.wav,TOP ZINNIAS RARELY HAVE CROOKED STEMS.
TIMIT/data/TRAIN\DR4\FPAF0\VOCODED_SX64.WAV.wav,REGULAR ATTENDANCE IS SELDOM REQUIRED.
TIMIT/data/TRAIN\DR4\FSAK0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\FSAK0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\FSAK0\VOCODED_SI1300.WAV.wav,"HE CAN, FOR EXAMPLE, PRESENT SIGNIFICANT UNIVERSITY-WIDE ISSUES TO THE SENATE."
TIMIT/data/TRAIN\DR4\FSAK0\VOCODED_SI1930.WAV.wav,A RABBIT PUNCH REDOUBLED HIM.
TIMIT/data/TRAIN\DR4\FSAK0\VOCODED_SI670.WAV.wav,NEGLECT MEANS SPIRITUAL PARALYSIS OR DEATH.
TIMIT/data/TRAIN\DR4\FSAK0\VOCODED_SX130.WAV.wav,HE HAD FOUR EXTRA EGGS FOR BREAKFAST.
TIMIT/data/TRAIN\DR4\FSAK0\VOCODED_SX220.WAV.wav,THE MOST RECENT GEOLOGICAL SURVEY FOUND SEISMIC ACTIVITY.
TIMIT/data/TRAIN\DR4\FSAK0\VOCODED_SX310.WAV.wav,THE HOOD OF THE JEEP WAS STEAMING IN THE HOT SUN.
TIMIT/data/TRAIN\DR4\FSAK0\VOCODED_SX40.WAV.wav,STIMULATING DISCUSSIONS KEEP STUDENTS' ATTENTION.
TIMIT/data/TRAIN\DR4\FSAK0\VOCODED_SX400.WAV.wav,JUST DROP NOTICES IN ANY SUGGESTION BOX.
TIMIT/data/TRAIN\DR4\FSSB0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\FSSB0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\FSSB0\VOCODED_SI1082.WAV.wav,A NEW ORDER IS THRUSTING ITSELF INTO BEING.
TIMIT/data/TRAIN\DR4\FSSB0\VOCODED_SI1712.WAV.wav,YOU THINK SOMEBODY IS GOING TO STAND UP IN THE AUDIENCE AND MAKE GUILTY FACES?
TIMIT/data/TRAIN\DR4\FSSB0\VOCODED_SI2342.WAV.wav,NOT WHEN I WAS A KID!
TIMIT/data/TRAIN\DR4\FSSB0\VOCODED_SX182.WAV.wav,THICK GLUE OOZED OUT OF THE TUBE.
TIMIT/data/TRAIN\DR4\FSSB0\VOCODED_SX272.WAV.wav,ALLOW EACH CHILD TO HAVE AN ICE POP.
TIMIT/data/TRAIN\DR4\FSSB0\VOCODED_SX362.WAV.wav,THE ANNOYING RACCOONS SLIPPED INTO PHIL'S GARDEN EVERY NIGHT.
TIMIT/data/TRAIN\DR4\FSSB0\VOCODED_SX452.WAV.wav,"IN DEVELOPING FILM, MANY TOXIC CHEMICALS ARE USED."
TIMIT/data/TRAIN\DR4\FSSB0\VOCODED_SX92.WAV.wav,A LARGE HOUSEHOLD NEEDS LOTS OF APPLIANCES.
TIMIT/data/TRAIN\DR4\MAEB0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\MAEB0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\MAEB0\VOCODED_SI1411.WAV.wav,RESOLVED THAT THE ANTI-SLAVERY SENTIMENT IS BECOMING RIPE FOR RESOLUTE ACTION.
TIMIT/data/TRAIN\DR4\MAEB0\VOCODED_SI2250.WAV.wav,ALL YOUR WISHFUL THINKING WON'T CHANGE THAT.
TIMIT/data/TRAIN\DR4\MAEB0\VOCODED_SI990.WAV.wav,AND THESE HARDY TRAVELERS ARE NOT UNAPPRECIATED TODAY.
TIMIT/data/TRAIN\DR4\MAEB0\VOCODED_SX180.WAV.wav,ALMOST ALL COLLEGES ARE NOW COEDUCATIONAL.
TIMIT/data/TRAIN\DR4\MAEB0\VOCODED_SX270.WAV.wav,ARE HOLIDAY APRONS AVAILABLE TO US?
TIMIT/data/TRAIN\DR4\MAEB0\VOCODED_SX360.WAV.wav,I ASSUME MOISTURE WILL DAMAGE THIS SHIP'S HULL.
TIMIT/data/TRAIN\DR4\MAEB0\VOCODED_SX450.WAV.wav,ROY IGNORED THE SPURIOUS DATA POINTS IN DRAWING THE GRAPH.
TIMIT/data/TRAIN\DR4\MAEB0\VOCODED_SX90.WAV.wav,THE THINKER IS A FAMOUS SCULPTURE.
TIMIT/data/TRAIN\DR4\MARW0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\MARW0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\MARW0\VOCODED_SI1276.WAV.wav,LAND-BASED RADAR WOULD HELP WITH THIS TASK.
TIMIT/data/TRAIN\DR4\MARW0\VOCODED_SI1906.WAV.wav,THEY HAD CHOSEN THIS NIGHT PURPOSELY.
TIMIT/data/TRAIN\DR4\MARW0\VOCODED_SI646.WAV.wav,"NICE, EVEN IF A TRIFLE GAUDY."
TIMIT/data/TRAIN\DR4\MARW0\VOCODED_SX106.WAV.wav,A HUGE TAPESTRY HUNG IN HER HALLWAY.
TIMIT/data/TRAIN\DR4\MARW0\VOCODED_SX16.WAV.wav,A ROLL OF WIRE LAY NEAR THE WALL.
TIMIT/data/TRAIN\DR4\MARW0\VOCODED_SX286.WAV.wav,"IN EVERY MAJOR CLOVERLEAF, TRAFFIC SOMETIMES GETS BACKED UP."
TIMIT/data/TRAIN\DR4\MARW0\VOCODED_SX349.WAV.wav,THE PRESCHOOLER COULDN'T VERBALIZE HER FEELINGS ABOUT THE EMERGENCY CONDITIONS.
TIMIT/data/TRAIN\DR4\MARW0\VOCODED_SX376.WAV.wav,WOMEN MAY NEVER BECOME COMPLETELY EQUAL TO MEN.
TIMIT/data/TRAIN\DR4\MBMA0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\MBMA0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\MBMA0\VOCODED_SI1222.WAV.wav,AVOWED ATHEISTS OR FREETHINKERS ARE SO RARE AS TO BE A CURIOSITY.
TIMIT/data/TRAIN\DR4\MBMA0\VOCODED_SI1852.WAV.wav,"SOON, SAID THE HALF-MAN."
TIMIT/data/TRAIN\DR4\MBMA0\VOCODED_SI592.WAV.wav,WHO WANTS THIS DEED DONE?
TIMIT/data/TRAIN\DR4\MBMA0\VOCODED_SX142.WAV.wav,WHICH LONG ARTICLE WAS OPAQUE AND NEEDED CLARIFICATION?
TIMIT/data/TRAIN\DR4\MBMA0\VOCODED_SX232.WAV.wav,HIS FAILURE TO OPEN THE STORE BY EIGHT COST HIM HIS JOB.
TIMIT/data/TRAIN\DR4\MBMA0\VOCODED_SX322.WAV.wav,A LEATHER HANDBAG WOULD BE A SUITABLE GIFT.
TIMIT/data/TRAIN\DR4\MBMA0\VOCODED_SX412.WAV.wav,GWEN PLANTED GREEN BEANS IN HER VEGETABLE GARDEN.
TIMIT/data/TRAIN\DR4\MBMA0\VOCODED_SX52.WAV.wav,HER CLASSICAL PERFORMANCE GAINED CRITICAL ACCLAIM.
TIMIT/data/TRAIN\DR4\MBWP0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\MBWP0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\MBWP0\VOCODED_SI1531.WAV.wav,WHO IS GOING TO STOP ME?
TIMIT/data/TRAIN\DR4\MBWP0\VOCODED_SI1969.WAV.wav,"IF ANY OF US MISS, THEY CAN PICK UP THE PIECES."
TIMIT/data/TRAIN\DR4\MBWP0\VOCODED_SI709.WAV.wav,"AVOCADOS, HOWEVER, ARE VERY RICH IN NUTRIENTS."
TIMIT/data/TRAIN\DR4\MBWP0\VOCODED_SX169.WAV.wav,HOW WOULD YOU EVALUATE THIS ALGEBRAIC EXPRESSION?
TIMIT/data/TRAIN\DR4\MBWP0\VOCODED_SX259.WAV.wav,TORNADOS OFTEN DESTROY ACRES OF FARM LAND.
TIMIT/data/TRAIN\DR4\MBWP0\VOCODED_SX349.WAV.wav,THE PRESCHOOLER COULDN'T VERBALIZE HER FEELINGS ABOUT THE EMERGENCY CONDITIONS.
TIMIT/data/TRAIN\DR4\MBWP0\VOCODED_SX439.WAV.wav,THAT STINGING VAPOR WAS CAUSED BY CHLORIDE VAPORIZATION.
TIMIT/data/TRAIN\DR4\MBWP0\VOCODED_SX79.WAV.wav,WILL YOU PLEASE DESCRIBE THE IDIOTIC PREDICAMENT.
TIMIT/data/TRAIN\DR4\MCDR0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\MCDR0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\MCDR0\VOCODED_SI1154.WAV.wav,"ONLY INCOMPLETE, IMPERFECT THINGS MOVE TOWARDS WHAT THEY LACK."
TIMIT/data/TRAIN\DR4\MCDR0\VOCODED_SI1784.WAV.wav,"THERE WAS A GRUNT, CURIOUSLY INARTICULATE, LIKE THAT OF AN ANIMAL IN PAIN."
TIMIT/data/TRAIN\DR4\MCDR0\VOCODED_SI524.WAV.wav,"WITHIN A SYSTEM, HOWEVER, THE AUTONOMY OF EACH MEMBER LIBRARY IS PRESERVED."
TIMIT/data/TRAIN\DR4\MCDR0\VOCODED_SX164.WAV.wav,CURIOSITY AND MEDIOCRITY SELDOM COEXIST.
TIMIT/data/TRAIN\DR4\MCDR0\VOCODED_SX254.WAV.wav,DO THEY ALLOW ATHEISTS IN CHURCH?
TIMIT/data/TRAIN\DR4\MCDR0\VOCODED_SX344.WAV.wav,I KNOW I DIDN'T MEET HER EARLY ENOUGH.
TIMIT/data/TRAIN\DR4\MCDR0\VOCODED_SX434.WAV.wav,EACH STAG SURELY FINDS A BIG FAWN.
TIMIT/data/TRAIN\DR4\MCDR0\VOCODED_SX74.WAV.wav,AN OFFICIAL DEADLINE CANNOT BE POSTPONED.
TIMIT/data/TRAIN\DR4\MCSS0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\MCSS0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\MCSS0\VOCODED_SI1380.WAV.wav,THERE IS LITTLE DOUBT THAT THE STUDENTS BENEFIT FROM VOCATIONAL EDUCATION.
TIMIT/data/TRAIN\DR4\MCSS0\VOCODED_SI688.WAV.wav,THE DEAD SPIRITS OCCUPIED A PROMINENT PLACE IN EVERY HOPE AND IN EVERY FEAR.
TIMIT/data/TRAIN\DR4\MCSS0\VOCODED_SI750.WAV.wav,"ADD A FEW CARAWAY SEEDS, TOO, IF YOU'D LIKE."
TIMIT/data/TRAIN\DR4\MCSS0\VOCODED_SX120.WAV.wav,"THE COYOTE, BOBCAT, AND HYENA ARE WILD ANIMALS."
TIMIT/data/TRAIN\DR4\MCSS0\VOCODED_SX210.WAV.wav,JEFF'S TOY GO-CART NEVER WORKED!
TIMIT/data/TRAIN\DR4\MCSS0\VOCODED_SX30.WAV.wav,GET A CALICO CAT TO KEEP.
TIMIT/data/TRAIN\DR4\MCSS0\VOCODED_SX300.WAV.wav,AMOEBAS CHANGE SHAPE CONSTANTLY.
TIMIT/data/TRAIN\DR4\MCSS0\VOCODED_SX390.WAV.wav,HE PICKED UP NINE PAIRS OF SOCKS FOR EACH BROTHER.
TIMIT/data/TRAIN\DR4\MDCD0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\MDCD0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\MDCD0\VOCODED_SI1415.WAV.wav,A SECOND ASSISTANT MOPPED WITH TWO SPONGES.
TIMIT/data/TRAIN\DR4\MDCD0\VOCODED_SI2045.WAV.wav,BEFORE MUCH LONGER THE MARINE QUIETED DOWN.
TIMIT/data/TRAIN\DR4\MDCD0\VOCODED_SI785.WAV.wav,"THE THEORY: THE IDEA BEHIND OUR DESIGN IS MODULAR UNITS, OR PANELIZATION."
TIMIT/data/TRAIN\DR4\MDCD0\VOCODED_SX155.WAV.wav,THE WATER CONTAINED TOO MUCH CHLORINE AND STUNG HIS EYES.
TIMIT/data/TRAIN\DR4\MDCD0\VOCODED_SX245.WAV.wav,DOES HINDU IDEOLOGY HONOR COWS?
TIMIT/data/TRAIN\DR4\MDCD0\VOCODED_SX335.WAV.wav,GUS SAW PINE TREES AND REDWOODS ON HIS WALK THROUGH SEQUOIA NATIONAL FOREST.
TIMIT/data/TRAIN\DR4\MDCD0\VOCODED_SX425.WAV.wav,MOVIES NEVER HAVE ENOUGH VILLAINS.
TIMIT/data/TRAIN\DR4\MDCD0\VOCODED_SX65.WAV.wav,CHALLENGE EACH GENERAL'S INTELLIGENCE.
TIMIT/data/TRAIN\DR4\MDMA0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\MDMA0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\MDMA0\VOCODED_SI1238.WAV.wav,HOW ON EARTH DO YOU MANAGE IT?
TIMIT/data/TRAIN\DR4\MDMA0\VOCODED_SI1430.WAV.wav,AT NO TIME WERE ALGAE FOUND IN THE MIXED LIQUOR.
TIMIT/data/TRAIN\DR4\MDMA0\VOCODED_SI2060.WAV.wav,"THANK YOU, SHE SAID, DUSTING HERSELF OFF."
TIMIT/data/TRAIN\DR4\MDMA0\VOCODED_SX170.WAV.wav,THE MAYAN NEOCLASSIC SCHOLAR DISAPPEARED WHILE SURVEYING ANCIENT RUINS.
TIMIT/data/TRAIN\DR4\MDMA0\VOCODED_SX260.WAV.wav,REMEMBER TO ALLOW IDENTICAL TWINS TO ENTER FREELY.
TIMIT/data/TRAIN\DR4\MDMA0\VOCODED_SX350.WAV.wav,MANY WEALTHY TYCOONS SPLURGED AND BOUGHT BOTH A YACHT AND A SCHOONER.
TIMIT/data/TRAIN\DR4\MDMA0\VOCODED_SX440.WAV.wav,THE ADVERTISING VERSE OF PLYMOUTH VARIETY STORE NEVER CHANGES.
TIMIT/data/TRAIN\DR4\MDMA0\VOCODED_SX80.WAV.wav,IT'S ILLEGAL TO POSTDATE A CHECK.
TIMIT/data/TRAIN\DR4\MESG0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\MESG0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\MESG0\VOCODED_SI1332.WAV.wav,THYROID FUNCTION TESTS YIELDED NORMAL RESULTS.
TIMIT/data/TRAIN\DR4\MESG0\VOCODED_SI1962.WAV.wav,ANOTHER SNARLED CLOSE OVERHEAD.
TIMIT/data/TRAIN\DR4\MESG0\VOCODED_SI702.WAV.wav,WE HAVE ALSO SEEN THE POWER OF FAITH AT WORK AMONG US.
TIMIT/data/TRAIN\DR4\MESG0\VOCODED_SX162.WAV.wav,HER AUBURN HAIR REMINDED HIM OF AUTUMN LEAVES.
TIMIT/data/TRAIN\DR4\MESG0\VOCODED_SX252.WAV.wav,THE GORGEOUS BUTTERFLY ATE A LOT OF NECTAR.
TIMIT/data/TRAIN\DR4\MESG0\VOCODED_SX342.WAV.wav,TAKE CHARGE OF CHOOSING HER BRIDE'S MAIDS' GOWNS.
TIMIT/data/TRAIN\DR4\MESG0\VOCODED_SX432.WAV.wav,"COFFEE IS GROWN ON STEEP, JUNGLE-LIKE SLOPES IN TEMPERATE ZONES."
TIMIT/data/TRAIN\DR4\MESG0\VOCODED_SX72.WAV.wav,SPRING STREET IS STRAIGHT AHEAD.
TIMIT/data/TRAIN\DR4\MFRM0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\MFRM0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\MFRM0\VOCODED_SI1155.WAV.wav,"HIS PROBLEM CONCERNS LONGITUDES, LATITUDES, AND ANGULAR VELOCITIES."
TIMIT/data/TRAIN\DR4\MFRM0\VOCODED_SI1717.WAV.wav,LULLABY AND GOODNIGHT HIS VOICE SHOOK.
TIMIT/data/TRAIN\DR4\MFRM0\VOCODED_SI1785.WAV.wav,ON THE BARE FLOORBOARDS A MAN LAY FACE DOWN.
TIMIT/data/TRAIN\DR4\MFRM0\VOCODED_SX165.WAV.wav,THE EASYGOING ZOOLOGIST RELAXED THROUGHOUT THE VOYAGE.
TIMIT/data/TRAIN\DR4\MFRM0\VOCODED_SX255.WAV.wav,MY IDEAL MORNING BEGINS WITH HOT COFFEE.
TIMIT/data/TRAIN\DR4\MFRM0\VOCODED_SX345.WAV.wav,TRISH SAW HOURS AND HOURS OF MOVIES SATURDAY.
TIMIT/data/TRAIN\DR4\MFRM0\VOCODED_SX435.WAV.wav,THE RICH SHOULD INVEST IN BLACK ZIRCONS INSTEAD OF STYLISH SHOES.
TIMIT/data/TRAIN\DR4\MFRM0\VOCODED_SX75.WAV.wav,FILL THAT CANTEEN WITH FRESH SPRING WATER.
TIMIT/data/TRAIN\DR4\MFWK0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR4\MFWK0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR4\MFWK0\VOCODED_SI1249.WAV.wav,"MAYBE TWENTY, THIRTY, FIFTY."
TIMIT/data/TRAIN\DR4\MFWK0\VOCODED_SI1879.WAV.wav,THAT TOUCHED OFF A TOTAL STAMPEDE.
TIMIT/data/TRAIN\DR4\MFWK0\VOCODED_SI619.WAV.wav,HE PRAISES MANY INDIVIDUALS GENEROUSLY.
TIMIT/data/TRAIN\DR4\MFWK0\VOCODED_SX169.WAV.wav,HOW WOULD YOU EVALUATE THIS ALGEBRAIC EXPRESSION?
TIMIT/data/TRAIN\DR4\MFWK0\VOCODED_SX259.WAV.wav,TORNADOS OFTEN DESTROY ACRES OF FARM LAND.
TIMIT/data/TRAIN\DR4\MFWK0\VOCODED_SX349.WAV.wav,THE PRESCHOOLER COULDN'T VERBALIZE HER FEELINGS ABOUT THE EMERGENCY CONDITIONS.
TIMIT/data/TRAIN\DR4\MFWK0\VOCODED_SX439.WAV.wav,THAT STINGING VAPOR WAS CAUSED BY CHLORIDE VAPORIZATION.
TIMIT/data/TRAIN\DR4\MFWK0\VOCODED_SX79.WAV.wav,WILL YOU PLEASE DESCRIBE THE IDIOTIC PREDICAMENT.
TIMIT/data/TRAIN\DR4\MGAG0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
